seed,config,type,totalJobs,finishedJobs,avgCompletion,avgWaiting,util
4096829200,config.txt,da_strat,999,794,9.1272,6.19899,0.483209
4096829201,config.txt,base_truth,999,744,25.3575,22.3629,0.623805
4096829201,config.txt,base_strat,999,740,25.0405,22.0473,0.621647
4096829201,config.txt,da_truth,999,744,8.50134,5.50806,0.494193
4096829201,config.txt,da_strat,999,748,8.99465,6.00668,0.509456
4096829202,config.txt,base_truth,999,766,25.141,22.077,0.611641
4096829202,config.txt,base_strat,999,770,25.8649,22.8039,0.609
4096829202,config.txt,da_truth,999,774,9.78682,6.73902,0.495622
4096829202,config.txt,da_strat,999,768,9.76302,6.70312,0.500367
4096829203,config.txt,base_truth,999,813,23.1845,20.2595,0.608012
4096829203,config.txt,base_strat,999,826,22.1695,19.23,0.607246
4096829203,config.txt,da_truth,999,792,9.17424,6.15404,0.496454
4096829203,config.txt,da_strat,999,794,9.00756,5.98866,0.506517
4096829204,config.txt,base_truth,999,751,22.3116,19.3702,0.624012
4096829204,config.txt,base_strat,999,749,22.8144,19.8718,0.621834
4096829204,config.txt,da_truth,999,769,7.63069,4.71131,0.504357
4096829204,config.txt,da_strat,999,762,8.10499,5.21129,0.500304
4096829205,config.txt,base_truth,999,807,24.1859,21.2094,0.61657
4096829205,config.txt,base_strat,999,802,24.5723,21.606,0.613543
4096829205,config.txt,da_truth,999,788,8.79569,5.83503,0.496996
4096829205,config.txt,da_strat,999,781,9.78873,6.83099,0.493201
4096829206,config.txt,base_truth,999,801,19.7815,16.8727,0.599291
4096829206,config.txt,base_strat,999,800,19.7675,16.8538,0.600791
4096829206,config.txt,da_truth,999,793,7.16772,4.28878,0.486043
4096829206,config.txt,da_strat,999,786,7.22265,4.32061,0.48868
4096829207,config.txt,base_truth,999,761,26.343,23.2904,0.624659
4096829207,config.txt,base_strat,999,771,25.978,22.9339,0.621683
4096829207,config.txt,da_truth,999,787,9.07878,6.07878,0.512523
4096829207,config.txt,da_strat,999,771,9.08949,6.0882,0.501711
4096829208,config.txt,base_truth,999,817,21.2595,18.1971,0.620007
4096829208,config.txt,base_strat,999,817,20.6916,17.6304,0.618981
4096829208,config.txt,da_truth,999,805,8.59503,5.57764,0.509285
4096829208,config.txt,da_strat,999,790,8.60506,5.57089,0.503126
4096829209,config.txt,base_truth,999,868,20.9447,17.9712,0.604506
4096829209,config.txt,base_strat,999,868,21.0829,18.1083,0.603254
4096829209,config.txt,da_truth,999,821,9.63946,6.63581,0.49879
4096829209,config.txt,da_strat,999,818,9.81174,6.80807,0.502253
4096829210,config.txt,base_truth,999,870,20.1333,17.1632,0.62172
4096829210,config.txt,base_strat,999,867,19.9458,16.9781,0.61742
4096829210,config.txt,da_truth,999,829,9.21713,6.24125,0.490603
4096829210,config.txt,da_strat,999,831,9.39711,6.41757,0.498537
4096829211,config.txt,base_truth,999,797,21.2572,18.3049,0.615399
4096829211,config.txt,base_strat,999,791,21.2781,18.3312,0.613313
4096829211,config.txt,da_truth,999,795,7.07799,4.15472,0.495851
4096829211,config.txt,da_strat,999,797,8.40025,5.49059,0.500162
4096829212,config.txt,base_truth,999,832,21.3113,18.3221,0.618607
4096829212,config.txt,base_strat,999,825,21.5709,18.5745,0.615083
4096829212,config.txt,da_truth,999,810,8.1284,5.1642,0.494207
4096829212,config.txt,da_strat,999,809,8.17923,5.22002,0.493458
4096829213,config.txt,base_truth,999,815,19.3816,16.4589,0.614814
4096829213,config.txt,base_strat,999,817,19.459,16.5202,0.615706
4096829213,config.txt,da_truth,999,788,7.54822,4.6269,0.483866
4096829213,config.txt,da_strat,999,785,8.00382,5.09427,0.482598
4096829214,config.txt,base_truth,999,790,25.7468,22.8266,0.601539
4096829214,config.txt,base_strat,999,803,24.8157,21.8929,0.602373
4096829214,config.txt,da_truth,999,782,9.76982,6.81586,0.491818
4096829214,config.txt,da_strat,999,782,9.49488,6.54348,0.501785
4096829215,config.txt,base_truth,999,787,24.5654,21.4612,0.626114
4096829215,config.txt,base_strat,999,784,23.8048,20.7092,0.622159
4096829215,config.txt,da_truth,999,782,8.73274,5.69437,0.501546
4096829215,config.txt,da_strat,999,774,8.86434,5.82946,0.501773
4096829216,config.txt,base_truth,999,838,20.7673,17.7685,0.614794
4096829216,config.txt,base_strat,999,835,20.7988,17.8096,0.613111
4096829216,config.txt,da_truth,999,828,9.12077,6.11957,0.508638
4096829216,config.txt,da_strat,999,819,9.52869,6.52991,0.506365
4096829217,config.txt,base_truth,999,799,24.199,21.2428,0.621382
4096829217,config.txt,base_strat,999,801,24.0824,21.1161,0.621334
4096829217,config.txt,da_truth,999,788,8.32614,5.36168,0.505511
4096829217,config.txt,da_strat,999,788,8.78426,5.79695,0.523816
4096829218,config.txt,base_truth,999,775,24.5355,21.5523,0.606383
4096829218,config.txt,base_strat,999,773,24.6274,21.652,0.603843
4096829218,config.txt,da_truth,999,760,7.97237,4.93816,0.496741
4096829218,config.txt,da_strat,999,760,9.06316,6.00658,0.504361
4096829219,config.txt,base_truth,999,817,23.4406,20.448,0.598791
4096829219,config.txt,base_strat,999,814,23.4681,20.473,0.596245
4096829219,config.txt,da_truth,999,799,8.73467,5.70213,0.499864
4096829219,config.txt,da_strat,999,786,9.17557,6.14504,0.49309
4096829220,config.txt,base_truth,999,800,23.43,20.5162,0.616973
4096829220,config.txt,base_strat,999,801,22.7179,19.7865,0.617309
4096829220,config.txt,da_truth,999,778,9.4653,6.55656,0.489026
4096829220,config.txt,da_strat,999,771,8.81582,5.89754,0.491087
4096829221,config.txt,base_truth,999,793,22.5019,19.5296,0.604937
4096829221,config.txt,base_strat,999,791,22.4665,19.4981,0.600084
4096829221,config.txt,da_truth,999,782,8.11381,5.09207,0.498647
4096829221,config.txt,da_strat,999,776,8.35438,5.33892,0.501073
4096829222,config.txt,base_truth,999,863,18.4079,15.5446,0.601551
4096829222,config.txt,base_strat,999,859,18.2433,15.383,0.598227
4096829222,config.txt,da_truth,999,820,8.14268,5.26098,0.486879
4096829222,config.txt,da_strat,999,825,8.38909,5.52,0.49344
4096829223,config.txt,base_truth,999,794,22.699,19.7972,0.60455
4096829223,config.txt,base_strat,999,798,21.9273,19.0276,0.602123
4096829223,config.txt,da_truth,999,784,8.6301,5.6875,0.487077
4096829223,config.txt,da_strat,999,775,8.94065,5.97548,0.488315
4096829224,config.txt,base_truth,999,826,19.063,16.1065,0.605889
4096829224,config.txt,base_strat,999,830,18.2193,15.2675,0.604947
4096829224,config.txt,da_truth,999,802,7.6783,4.7606,0.486758
4096829224,config.txt,da_strat,999,797,7.92346,5,0.484469
4096829225,config.txt,base_truth,999,895,16.5966,13.6324,0.614284
4096829225,config.txt,base_strat,999,892,16.7747,13.8128,0.61192
4096829225,config.txt,da_truth,999,851,7.85546,4.91069,0.502758
4096829225,config.txt,da_strat,999,847,7.8902,4.9575,0.498362
4096829226,config.txt,base_truth,999,710,26.7746,23.8479,0.60289
4096829226,config.txt,base_strat,999,701,26.3224,23.3951,0.599211
